Name,School,Score
Bryce Young,Alabama,2.805268818
Grayson McCall,Coastal Carolina,2.792016785
Hendon Hooker,Tennessee,2.671057159
C.J. Stroud,Ohio State,2.625036297
Malik Cunningham,Louisville,2.457721197
Matt Corral,Ole Miss,2.353617344
DeQuan Finn,Toledo,2.238318093
Kenny Pickett,Pitt,2.14871734
Zach Gibson,Akron,2.000534144
Dustin Crum,Kent State,1.966504841
K.J. Jefferson,Arkansas,1.957116976
Bailey Zappe,Western Kentucky,1.956413739
Devin Leary,North Carolina State,1.93819261
Levi Lewis,Louisiana,1.650351108
Frank Harris,UTSA,1.594417082
Kaleb Eleby,Western Michigan,1.563432442
Jack Plummer,Purdue,1.525195761
Caleb Williams,Oklahoma,1.517958482
Carson Strong,Nevada,1.485368415
Will Rogers,Mississippi State,1.451570648
Bo Nix,Auburn,1.372900542
Cameron Rising,Utah,1.360605262
Brennan Armstrong,Virginia,1.354687653
Skylar Thompson,Kansas State,1.331792109
Blake Shapen,Baylor,1.307128065
Jack Coan,Notre Dame,1.25808854
Dorian Thompson-Robinson,UCLA,1.249955969
Jaren Hall,Brigham Young,1.187762566
Anthony Brown,Oregon,1.17442882
Tyler Van Dyke,Miami (FL),1.132496902
Desmond Ridder,Cincinnati,1.124876219
Garrett Shrader,Syracuse,1.064319111
Jake Haener,Fresno State,1.019164642
Carter Bradley,Toledo,0.9709231969
Max Johnson,LSU,0.9610503297
Donovan Smith,Texas Tech,0.9510429937
Brett Gabbert,Miami (OH),0.9260097105
Chase Cunningham,Middle Tennessee State,0.8966562179
Sam Howell,North Carolina,0.8753633994
Jordon Brookshire,San Diego State,0.870384986
Daniel Richardson,Central Michigan,0.8346120294
Stetson Bennett,Georgia,0.8279988122
Darren Grainger,Georgia State,0.8150670751
Gerry Bohanon,Baylor,0.7642523518
TJ Finley,Auburn,0.7375272968
Braxton Burmeister,Virginia Tech,0.7264318778
Ben Bryant,Eastern Michigan,0.6930632162
Zeb Noland,South Carolina,0.6880065561
Chandler Rogers,Louisiana-Monroe,0.6784370004
Brendon Lewis,Colorado,0.6665029626
Hudson Card,Texas,0.6601461351
Cade McNamara,Michigan,0.6588664161
Brock Purdy,Iowa State,0.6418211916
Dylan Hopkins,UAB,0.5738470723
N'Kosi Perry,Florida Atlantic,0.5676897863
Seth Henigan,Memphis,0.5625277376
Cam Ransom,Georgia Southern,0.5578456385
Tyler Vitt,Texas State,0.5506062089
Drew Plitt,Ball State,0.5116188409
Jordan Yates,Georgia Tech,0.5075655937
Lucas Johnson,San Diego State,0.5064332104
AJ Mayer,Miami (OH),0.5023143087
Spencer Rattler,Oklahoma,0.4981179582
