Name,School,Score
Melvin Gordon,Wisconsin,5.092683026
Jay Ajayi,Boise State,4.146581131
Devon Johnson,Marshall,4.018539746
Kenneth Dixon,Louisiana Tech,3.796200313
Ameer Abdullah,Nebraska,3.445699893
Matt Breida,Georgia Southern,3.215193698
James Conner,Pitt,3.159314723
Donnel Pumphrey,San Diego State,3.052082818
Ezekiel Elliott,Ohio State,3.046595142
Duke Johnson,Miami (FL),3.015276672
Nick Chubb,Georgia,3.013738722
Tevin Coleman,Indiana,2.98301277
Jarvion Franklin,Western Michigan,2.897983021
Elijah McGuire,Louisiana,2.893717218
Samaje Perine,Oklahoma,2.872748861
Leon Allen,Western Kentucky,2.730679416
Kareem Hunt,Toledo,2.727115113
Dee Hart,Colorado State,2.686417989
Marcus Cox,Appalachian State,2.47087672
Jeremy Langford,Michigan State,2.430503035
Derrick Henry,Alabama,2.356327061
Royce Freeman,Oregon,2.35326168
Aaron Jones,UTEP,2.336285093
Paul Perkins,UCLA,2.2791879
Jhurell Pressley,New Mexico,2.26888645
Josh Robinson,Mississippi State,2.239645607
Javorius Allen,USC,2.211119665
Nick Wilson,Arizona,2.177630738
D.J. Foster,Arizona State,2.16049256
Cameron Artis-Payne,Auburn,2.121394206
Ray Lawry,Old Dominion,2.099059282
David Cobb,Minnesota,2.085304723
Daniel Lasco,California,2.055146567
Michael Gordon,Arkansas State,2.033229841
Jordan Howard,UAB,2.006202941
Devontae Booker,Utah,2.002014274
Jonathan Williams,Arkansas,1.94476361
Aaron Green,Texas Christian,1.876535442
Shock Linwood,Baylor,1.846966292
Terrence Franks,Texas State,1.840788995
Shaq Thompson,Washington,1.835424471
Matt Dayes,North Carolina State,1.820032538
Robert Lowe,Texas State,1.774644018
Corey Clement,Wisconsin,1.736003021
Kenneth Farrow,Houston,1.71435275
Marteze Waller,Fresno State,1.676335119
Shane Tucker,Middle Tennessee State,1.669965131
Noah Copeland,Navy,1.659803832
Mike Davis,South Carolina,1.651630849
Leonard Fournette,LSU,1.572244564
Anthone Taylor,Buffalo,1.569662524
Chris Swain,Navy,1.567181352
Jahwan Edwards,Ball State,1.566615591
T.J. Yeldon,Alabama,1.530965075
Larry Rose III,New Mexico State,1.493279456
Justin Jackson,Northwestern,1.489910946
Synjyn Days,Georgia Tech,1.481158162
Deandre Washington,Texas Tech,1.443650657
Breon Allen,East Carolina,1.403574109
Larry Dixon,Army,1.380698628
Todd Gurley,Georgia,1.370105273
Travis Greene,Bowling Green State,1.365156582
Dalvin Cook,Florida State,1.347583139
Alex Collins,Arkansas,1.333777623
Demario Richard,Arizona State,1.318946261
Thomas Rawls,Central Michigan,1.281061014
