Name,School,Score
Jameson Williams,Alabama,3.286700939
Jordan Addison,Pitt,3.11853164
Jerreth Sterns,Western Kentucky,3.071663739
A.T. Perry,Wake Forest,2.802702296
Deven Thompkins,Utah State,2.645248161
Mitchell Tinsley,Western Kentucky,2.595634093
Jack Sorenson,Miami (OH),2.44141446
Jaxon Smith-Njigba,Ohio State,2.435449849
Tyrese Chambers,Florida International,2.404592625
Dontayvion Wicks,Virginia,2.307716585
Jalen Tolbert,South Alabama,2.266619223
Jacob Cowing,UTEP,2.156869408
Nathaniel Dell,Houston,2.138794105
Isaiah Neyor,Wyoming,2.092962789
Cedric Tillman,Tennessee,2.053436933
Treylon Burks,Arkansas,1.983903777
Xavier Worthy,Texas,1.8330028
Garrett Wilson,Ohio State,1.830981618
Jayden Reed,Michigan State,1.805312412
Dante Cephas,Kent State,1.748383449
Jahan Dotson,Penn State,1.745032851
Skyy Moore,Western Michigan,1.744895479
Chris Olave,Ohio State,1.708546878
Trea Shropshire,UAB,1.688754602
Brock Bowers,Georgia,1.682006602
Isaiah Likely,Coastal Carolina,1.68126664
Romeo Doubs,Nevada,1.648769525
Jaivon Heiligh,Coastal Carolina,1.580828031
Calvin Austin III,Memphis,1.560899915
Josh Downs,North Carolina,1.560490017
Gerrit Prince,UAB,1.540568448
Derek Wright,Utah State,1.505753095
Zakhari Franklin,UTSA,1.497491273
Tyquan Thornton,Baylor,1.483669608
Jaquarii Roberson,Wake Forest,1.427246282
Wan'Dale Robinson,Kentucky,1.41441117
Charleston Rambo,Miami (FL),1.412935292
Tay Martin,Oklahoma State,1.372717413
Kevin Austin,Notre Dame,1.362281569
David Bell,Purdue,1.358306774
Alec Pierce,Cincinnati,1.335294746
Khalil Shakir,Boise State,1.30242729
Brandon Bowling,Utah State,1.29362923
Danny Gray,SMU,1.279953253
Nick Mardner,Hawaii,1.278894839
Trayvon Rudolph,Northern Illinois,1.275154904
Samori Toure,Nebraska,1.256961369
Daewood Davis,Western Kentucky,1.22476171
Dontario Drummond,Ole Miss,1.184566288
Calvin Jackson Jr.,Washington State,1.166869422
John Metchie,Alabama,1.156375889
Puka Nacua,Brigham Young,1.131934441
Corey Rucker,Arkansas State,1.116287146
Marvin Mims,Oklahoma,1.107489698
Corey Sutton,Appalachian State,1.035988289
Brandon Johnson,UCF,1.024460188
Drake London,USC,1.023556744
Josh Johnson,Tulsa,1.023413981
Malik Williams,Appalachian State,1.004104102
JaCorey Sullivan,Central Michigan,1.003407894
Corey Crooms,Western Michigan,0.9630692785
Jalen Nailor,Michigan State,0.9615989256
Dallas Dixon,Central Michigan,0.9529144697
Ali Jennings,Old Dominion,0.9475037145
Kyle Philips,UCLA,0.9179793244
Makai Polk,Mississippi State,0.907934189
Grant Dubose,Charlotte,0.8631368727
Kalil Pimpleton,Central Michigan,0.839896798
CJ Daniels,Liberty,0.8344745396
Quentin Johnston,Texas Christian,0.8065310577
Bryce Singleton,Florida International,0.8057787783
De'Corian Clark,UTSA,0.7940529409
Mac Hippenhammer,Miami (OH),0.7737537472
Antoine Green,North Carolina,0.7671071943
Zay Flowers,Boston College,0.7617026328
Greg Dulcich,UCLA,0.7545754275
Braylon Sanders,Ole Miss,0.7366811381
Trevon Clark,California,0.7292952695
Velus Jones Jr.,Tennessee,0.7191584459
Jason Brownlee,Southern Mississippi,0.7034815013
Travell Harris,Washington State,0.7023007138
Thomas Hennigan,Appalachian State,0.6981863947
Devin Carter,North Carolina State,0.6649961376
Cole Turner,Nevada,0.6648893406
Konata Mumpfield,Akron,0.642626965
Michael Mayer,Notre Dame,0.6419362332
Josh Vann,South Carolina,0.6387419188
Kevin Shaa,Liberty,0.6376508835
Xavier Hutchinson,Iowa State,0.6359602187
Emeka Emezie,North Carolina State,0.6337663178
Jelani Woods,Virginia,0.6040952127
Milton Wright,Purdue,0.5974110203
Te'Vailance Hunt,Arkansas State,0.5885573022
Kayshon Boutte,LSU,0.5881525796
Sean Dykes,Memphis,0.574301599
Rakim Jarrett,Maryland,0.5599585482
Dalton Kincaid,Utah,0.5371167375
Kameron Brown,Coastal Carolina,0.5210038969
Demario Douglas,Liberty,0.5153750872
Willie Johnson,Marshall,0.5046210403
Jermaine Burton,Georgia,0.4956779455
Rashee Rice,SMU,0.493773417
Cedric Patterson III,Rice,0.4912291471
Derrick Deese,San Jose State,0.4906879714
Tyrone Broden,Bowling Green State,0.4855968097
Jared Wayne,Pitt,0.4844608474
Jaylen Hall,Western Michigan,0.4749297114
Charlie Kolar,Iowa State,0.4522360742
Roderic Burns,North Texas,0.4493505982
Tyler Snead,East Carolina,0.4417589225
Jalen Cropper,Fresno State,0.4389297422
Joshua Cephus,UTSA,0.4275873008
Jayson Jackson,Ball State,0.4263135483
Tyler Scott,Cincinnati,0.4205189763
Hassan Beydoun,Eastern Michigan,0.4197367503
Gary Bryant Jr.,USC,0.4134067075
Thayer Thomas,North Carolina State,0.4130197939
Trevon Bradford,Oregon State,0.4122193627
Josh Kelly,Fresno State,0.4103630599
Tre Turner,Virginia Tech,0.3885794608
Parker Washington,Penn State,0.3805292906
Xavier Weaver,South Florida,0.3773221808
Erik Ezukanma,Texas Tech,0.3771547755
Keytaon Thompson,Virginia,0.3717970415
Ryan O'Keefe,UCF,0.3695253638
Tyrin Smith,UTEP,0.3674721135
Jacob Copeland,Florida,0.3590523678
Jeremy Singleton,Houston,0.3570360241
Taylor Morin,Wake Forest,0.3457320231
Ra'Shaun Henry,Virginia,0.3292274193
Jaheim Bell,South Carolina,0.3212285132
Jaray Jenkins,LSU,0.3163842804
Keelan Marion,Connecticut,0.3100353636
Zane Pope,Fresno State,0.303633506
Javen Banks,Texas State,0.296759011
Smoke Harris,Louisiana Tech,0.2940789801
Gunner Romney,Brigham Young,0.2927803987
Reggie Roberson Jr.,SMU,0.2722106129
Keshunn Abram,Kent State,0.2629015488
Chris Autman-Bell,Minnesota,0.2614773762
Dylan Drummond,Eastern Michigan,0.2590881103
Zack Kuntz,Old Dominion,0.258631403
Trey McBride,Colorado State,0.2524894932
Brant Kuithe,Utah,0.2488089387
Tory Horton,Nevada,0.2432613323
Benjamin Yurosek,Stanford,0.2431614055
Isaiah Garcia-Castaneda,New Mexico State,0.2415558672
Devon Williams,Oregon,0.2377739557
Kyric McGowan,Georgia Tech,0.2316605786
Isaiah Alston,Army,0.2185682927
Cornelius Johnson,Michigan,0.2094678935
Sam Crawford Jr.,Tulsa,0.2074950584
Tre Harris,Louisiana Tech,0.2042446115
Quian Williams,Buffalo,0.2012450795
Justin Garrett,UTEP,0.1953434618
