Team,Rating,Rating Deviation
Florida State,2108.59,141.82
Alabama,2067.07,154.57
Oregon,2035.04,139.97
Ohio State,2032.65,151.63
Baylor,2028.7,152.36
Stanford,2017.87,129.53
Auburn,1994.51,135.95
Clemson,1984.35,141.06
Northern Illinois,1976.37,164.23
Michigan State,1970.63,135.63
Missouri,1967.38,140.94
Fresno State,1958.17,169.82
UCF,1941.46,152.59
UCLA,1935.77,136.63
Oklahoma State,1932.61,139.27
Arizona State,1928.58,127.37
Wisconsin,1913.92,130.99
Louisville,1913.39,150.89
USC,1903.11,126.9
Oklahoma,1895.78,142.01
South Carolina,1895.05,134.95
Minnesota,1890.48,132.89
Duke,1884.74,132.31
Texas A&M,1863.16,136.05
BYU,1851.19,130.97
LSU,1825.2,136.36
Ball State,1821.56,140.17
Notre Dame,1820.02,134.96
Louisiana,1817.37,142.46
Miami,1809.3,138.74
Georgia,1805.76,133.51
Ole Miss,1805.68,139.33
Texas,1804.47,136.36
Nebraska,1802.77,133.22
Michigan,1794.24,133.03
Houston,1788.79,135.51
Washington,1787.59,134.3
Virginia Tech,1780.01,126.77
Toledo,1767.67,137.78
Georgia Tech,1766.22,128.96
Penn State,1756.51,135.4
Oregon State,1746.59,135.56
Texas Tech,1745.71,134.52
Boise State,1741.94,133.67
Maryland,1722.54,133.85
Cincinnati,1722.21,141.86
East Carolina,1717.05,145.09
Syracuse,1716.17,135.62
Arizona,1712.83,132.43
Arkansas State,1707.43,131.07
North Texas,1707.37,137.74
North Carolina,1706.99,138.75
Washington State,1705.57,141.76
Iowa,1701.87,138.01
Old Dominion,1700.4,143.84
Boston College,1696.22,138.6
Vanderbilt,1694.58,136.16
Kansas State,1690.61,137.15
Tennessee,1687.27,134.2
Pittsburgh,1684.26,126.85
Buffalo,1682.93,139.63
Rice,1671.27,142.04
Bowling Green,1670.19,141.2
Towson,1662.31,290.32
North Dakota State,1662.31,290.32
Northern Iowa,1662.31,290.32
McNeese,1662.31,290.32
Rutgers,1658.93,143.86
Navy,1654.35,136.53
Indiana,1650.33,131.38
San Diego State,1646.95,143.57
Marshall,1644.41,138.04
Utah State,1638.29,133.9
Wake Forest,1637.45,137.18
Utah,1634.45,137.59
Western Kentucky,1631.28,135.71
Mississippi State,1630.31,141.25
Chattanooga,1629.7,283.79
Florida,1623.08,130.35
Tulane,1620.37,130.59
Texas State,1619.93,133.04
Fordham,1614.3,283.14
UT San Antonio,1601.04,131.13
Louisiana Monroe,1597.85,132.25
Jacksonville State,1595.58,285.93
Middle Tennessee,1593.47,134.19
Ohio,1573.31,147.38
Eastern Illinois,1569.06,244.98
Colorado State,1565.96,129.41
Samford,1564.59,245.77
San José State,1559.41,128.39
UNLV,1557.65,136.79
Colorado,1556.71,138.55
Troy,1555.85,126.23
Maine,1552.04,243.17
Southern Utah,1543.83,240.82
