Team,Rating,Rating Deviation
Miami,2144.46,146.24
Alabama,2113.26,140.78
UCF,2082.83,161.08
Wisconsin,2054.46,137.47
Georgia,2024.24,138.58
Clemson,2004.62,136.36
Memphis,2001.91,148.22
Oklahoma,1987.69,133.7
USC,1984.66,122.83
Notre Dame,1977.02,127.37
Ohio State,1952.32,132.26
Washington State,1940.62,131.01
Auburn,1938.29,130.2
Penn State,1937.83,133.25
TCU,1922.09,136.28
Stanford,1919.12,128.03
LSU,1909.38,128.95
Washington,1907.89,131.56
Northwestern,1898.62,131.35
South Florida,1898.35,155.75
Michigan State,1889.42,126.62
Mississippi State,1886.96,130.56
Boise State,1882.43,132.25
Michigan,1874.84,129.18
Oklahoma State,1852.33,129.84
South Carolina,1843.7,127.82
Toledo,1843.43,134.48
Florida Atlantic,1818.52,125.58
San Diego State,1808.2,144.65
Wake Forest,1802.24,126.64
Arizona,1799.87,126.91
Texas A&M,1795.98,123.61
Virginia Tech,1790.02,135.93
North Texas,1787.58,130.08
NC State,1785.95,127.62
Iowa State,1782.6,129.96
West Virginia,1769.04,130.98
Troy,1764.31,148.65
Northern Illinois,1763.95,133.12
Fresno State,1762.04,131.18
Oregon,1753.56,124.62
Arizona State,1751.36,129.05
Wyoming,1745.43,123.66
Kentucky,1743.9,128.34
Navy,1736.62,137.68
Houston,1731.04,138.17
Iowa,1730.97,123.64
Louisville,1730.74,124.5
Boston College,1728.28,128.74
Ohio,1722.91,132.44
Texas,1716.53,134.23
Army,1711.84,124.41
Missouri,1706.61,128.33
Kansas State,1700.01,133.33
UCLA,1695.85,122.68
SMU,1692.69,132.24
Central Michigan,1686.21,127.03
Virginia,1677.09,127.89
Florida,1676.77,130.03
California,1675.94,128.9
Georgia Tech,1674.64,130.28
Western Illinois,1671.24,272.49
UAB,1663.08,126.44
Liberty,1662.31,290.32
James Madison,1662.31,290.32
Tennessee State,1662.31,290.32
Florida State,1660.51,141.96
Ole Miss,1657.27,126.54
Marshall,1656.48,126.4
Florida International,1654.01,132.83
Purdue,1653.56,126.22
Georgia State,1651.04,142.96
Colorado,1650.79,128.06
Utah,1648.39,124.99
Colorado State,1645.95,125.63
Akron,1633.45,127.41
New Hampshire,1629.7,283.79
South Dakota,1629.7,283.79
Minnesota,1629.03,124.78
Indiana,1618.42,134.63
Southern Mississippi,1617.27,133.17
Tulane,1615.8,131.05
Utah State,1615.65,126.11
UT San Antonio,1614.39,134.76
North Carolina A&T,1614.3,283.14
Western Michigan,1612.5,126.04
Duke,1604.12,129.77
Texas Tech,1603.05,127.17
Arkansas State,1598.38,137.69
Syracuse,1590.09,127.28
Temple,1586.88,135.1
Maryland,1586.19,128.26
Vanderbilt,1583.74,124.28
Western Kentucky,1582.24,128.24
Nebraska,1578.59,127.2
Air Force,1571.54,130.32
Rutgers,1570.23,132.39
Arkansas,1566.13,135.21
Appalachian State,1544.25,143.05
Tennessee,1543.28,137.52
UNLV,1538.88,126.81
Pittsburgh,1534.52,129.71
North Carolina,1533.32,152.82
Louisiana,1529.74,125.95
Old Dominion,1522,137.35
Louisiana Tech,1521.23,129.72
Howard,1508.53,244.43
UMass,1508.46,148.54
Middle Tennessee,1500.66,131.77
Buffalo,1495.37,124.61
Eastern Michigan,1489.4,125.95
Louisiana Monroe,1474.58,130.96
The Citadel,1465.14,318.58
Idaho State,1462.17,235.01
Cincinnati,1458.25,129.22
Miami (OH),1451.4,126.17
South Alabama,1447.85,129.92
Connecticut,1447.14,138.19
Southern Illinois,1439.7,305.06
Northern Colorado,1438.34,304.1
Wofford,1436.27,294.4
New Mexico State,1435.5,131.19
East Carolina,1432.85,140.11
Samford,1429.62,298.73
Tulsa,1425.35,146.29
Chattanooga,1420.18,296.35
New Mexico,1415.08,124.1
Murray State,1411.43,284.45
Weber State,1407.26,290.41
Towson,1407.26,290.41
UT Martin,1407.26,290.41
Delaware,1407.26,290.41
Montana,1407.26,290.41
Indiana State,1407.26,290.41
Stony Brook,1407.26,290.41
Tennessee Tech,1388.89,280.24
Furman,1388.89,280.24
Southeastern Louisiana,1383.36,286.93
Montana State,1383.36,286.93
Albany,1383.36,286.93
Northern Arizona,1383.36,286.93
Central Arkansas,1383.36,286.93
North Dakota,1383.36,286.93
North Carolina Central,1383.36,286.93
Rhode Island,1383.36,286.93
Youngstown State,1383.36,286.93
Elon,1383.36,286.93
VMI,1383.36,286.93
Fordham,1383.36,286.93
Florida A&M,1383.36,286.93
Sacramento State,1383.36,286.93
Jackson State,1383.36,286.93
Stephen F. Austin,1383.36,286.93
Northern Iowa,1383.36,286.93
Eastern Washington,1383.36,286.93
Lamar,1383.36,286.93
Central Connecticut,1383.36,286.93
Grambling,1383.36,286.93
Missouri State,1383.36,286.93
Northwestern State,1383.36,286.93
Presbyterian College,1383.36,286.93
Southern Utah,1383.36,286.93
Southeast Missouri State,1383.36,286.93
UC Davis,1383.36,286.93
Holy Cross,1383.36,286.93
Hampton,1383.36,286.93
Houston Baptist,1383.36,286.93
William & Mary,1383.36,286.93
Incarnate Word,1383.36,286.93
Illinois,1377.18,131.34
Mercer,1372.28,271.11
BYU,1371.39,127.04
Hawai'i,1362.62,129.27
Wagner,1357.26,269.9
Savannah State,1342.31,275.57
Nicholls,1342.31,275.57
Eastern Illinois,1342.31,275.57
Cal Poly,1342.31,275.57
Alcorn State,1342.31,275.57
Gardner-Webb,1342.31,275.57
Jacksonville State,1342.31,275.57
Villanova,1342.31,275.57
Alabama State,1342.31,275.57
Idaho,1337.83,130.78
Eastern Kentucky,1330.87,257.99
Kent State,1326.1,131.19
Nevada,1324.85,149.55
Bowling Green,1320.63,142.55
Charleston Southern,1319.55,249.32
Colgate,1316.08,272.41
Morgan State,1316.08,272.41
